,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
3,STL,-100,6.5,9.0,16,OVER,MIL,4,12.0,10.5,4.0,9.162998004798359,UNDER,2019,2019-04-16
4,NYM,-100,5.5,9.0,16,OVER,PHI,4,17.0,10.5,5.0,9.181307329803328,UNDER,2019,2019-04-16
5,PIT,100,5.5,7.5,16,OVER,DET,4,8.0,1.5,7.0,9.732531269714569,OVER,2019,2019-04-16
6,CLE,100,3.5,8.0,16,UNDER,SEA,4,6.0,4.5,1.0,8.688703386056538,UNDER,2019,2019-04-16
7,BOS,-100,2.5,8.5,16,UNDER,NYY,4,8.0,7.5,10.0,10.349938476348292,OVER,2019,2019-04-16
8,CHC,100,2.5,8.0,16,UNDER,MIA,4,4.0,4.5,2.0,8.711573553167693,UNDER,2019,2019-04-16
9,LAA,100,2.0,10.0,16,UNDER,TEX,4,5.0,13.0,11.0,10.51612353914058,UNDER,2019,2019-04-16
10,KC,-100,1.5,9.0,16,UNDER,CWS,4,6.0,10.5,12.0,10.524052167064287,OVER,2019,2019-04-16
11,BAL,-100,1.5,8.0,16,UNDER,TB,4,6.0,4.5,6.0,9.61848824912476,OVER,2019,2019-04-16
12,ARI,100,0.5,8.5,16,OVER,ATL,4,15.0,7.5,8.0,10.039384734699693,OVER,2019,2019-04-16
0,ARI,100,3.5,7.5,22,OVER,PIT,4,16.0,1.5,5.0,9.82513121639135,OVER,2019,2019-04-22
1,MIN,-100,2.5,9.5,22,OVER,HOU,4,14.0,5.5,3.0,8.918199047476207,UNDER,2019,2019-04-22
2,PHI,100,2.5,8.5,22,UNDER,NYM,4,6.0,3.5,1.0,8.239609201725719,UNDER,2019,2019-04-22
3,KC,100,0.5,7.5,22,OVER,TB,4,9.0,1.5,2.0,8.767468054709338,OVER,2019,2019-04-22
4,NYY,-100,0.5,8.5,22,UNDER,LAA,4,7.0,3.5,4.0,9.600458581791356,OVER,2019,2019-04-22
5,CWS,100,0.5,9.5,22,OVER,BAL,4,14.0,5.5,6.0,10.124082792082415,OVER,2019,2019-04-22
6,WSH,100,0.0,11.0,22,OVER,COL,4,12.0,7.0,7.0,10.946307540009963,OVER,2019,2019-04-22
0,HOU,100,8.0,7.5,30,OVER,MIN,4,11.0,3.0,11.0,10.134610595576586,OVER,2019,2019-04-30
1,CHC,-100,7.0,9.0,30,OVER,SEA,4,11.0,11.0,4.0,8.793444771283342,UNDER,2019,2019-04-30
2,TB,0,5.5,8.0,30,PUSH,KC,4,8.0,4.5,10.0,10.079022950379171,OVER,2019,2019-04-30
3,NYY,100,5.0,8.5,30,UNDER,ARI,4,4.0,8.0,3.0,8.749796909250383,UNDER,2019,2019-04-30
4,BAL,0,4.0,8.5,30,PUSH,CWS,4,8.5,8.0,12.0,10.28055434351891,OVER,2019,2019-04-30
5,LAD,0,3.5,7.0,30,PUSH,SF,4,7.0,1.5,5.0,8.934082719607476,OVER,2019,2019-04-30
6,OAK,100,3.5,9.5,30,UNDER,BOS,4,6.0,12.5,9.0,10.020003384784387,UNDER,2019,2019-04-30
7,CIN,100,2.5,8.0,30,UNDER,NYM,4,7.0,4.5,2.0,8.28592781972651,UNDER,2019,2019-04-30
8,SD,100,2.0,8.5,30,UNDER,ATL,4,7.0,8.0,6.0,9.049529970628221,UNDER,2019,2019-04-30
9,STL,-100,1.5,9.5,30,UNDER,WSH,4,5.0,12.5,14.0,10.573568891111693,OVER,2019,2019-04-30
10,COL,100,1.0,8.5,30,UNDER,MIL,4,7.0,8.0,7.0,9.07848775020908,UNDER,2019,2019-04-30
11,PIT,100,1.0,11.0,30,UNDER,TEX,4,10.0,14.0,13.0,10.302101339062752,UNDER,2019,2019-04-30
12,CLE,-100,0.5,7.0,30,OVER,MIA,4,11.0,1.5,1.0,8.083743650430472,UNDER,2019,2019-04-30
13,DET,-100,0.0,8.5,30,UNDER,PHI,4,4.0,8.0,8.0,9.818077307642405,OVER,2019,2019-04-30
0,NYM,100,3.0,7.5,15,OVER,PHI,4,13.0,1.0,4.0,10.477371672792488,OVER,2019,2019-04-15
1,STL,-100,2.0,9.5,15,OVER,MIL,4,17.0,4.0,2.0,9.36808518630942,UNDER,2019,2019-04-15
2,CHC,-100,1.0,8.0,15,OVER,MIA,4,9.0,2.0,1.0,8.798888813780168,UNDER,2019,2019-04-15
3,LAA,100,0.0,10.5,15,OVER,TEX,4,19.0,5.0,5.0,10.81141781259272,OVER,2019,2019-04-15
4,TOR,-100,0.0,8.5,15,UNDER,MIN,4,8.0,3.0,3.0,10.317464994508091,OVER,2019,2019-04-15
0,CWS,100,2.5,6.5,3,OVER,CLE,4,11.0,1.5,4.0,10.341460125310801,OVER,2019,2019-04-03
1,CHC,-100,1.5,9.0,3,OVER,ATL,4,10.0,4.5,3.0,10.214681047296434,UNDER,2019,2019-04-03
2,STL,-100,1.0,7.5,3,OVER,PIT,4,9.0,3.0,2.0,9.913468988022382,UNDER,2019,2019-04-03
